gary_johnson,Social policy,Drinking age
gary_johnson,Social policy,Death penalty
gary_johnson,Social policy,Abortion
gary_johnson,Social policy,Tobacco control
gary_johnson,Social policy,Stem cell research
gary_johnson,Social policy,Education
gary_johnson,Social policy,Crime
gary_johnson,Social policy,Immigration
gary_johnson,Social policy,Gun rights
gary_johnson,Social policy,Internet issues
gary_johnson,Social policy,Drug policy
gary_johnson,Social policy,Homosexuality issues
gary_johnson,Economic policy,Health care
gary_johnson,Economic policy,Free-market capitalism
gary_johnson,Economic policy,Budget, deficits
gary_johnson,Economic policy,Energy
gary_johnson,Economic policy,Employment
gary_johnson,Economic policy,Labor unions
gary_johnson,Economic policy,Environment
gary_johnson,Economic policy,Federal Reserve
gary_johnson,Economic policy,Free trade
gary_johnson,Economic policy,Social Security and Medicare
gary_johnson,Structure of government,Eminent domain
gary_johnson,Structure of government,Judicial appointments
gary_johnson,Structure of government,Campaign finance regulation
gary_johnson,Structure of government,States' rights
gary_johnson,Structure of government,Civil liberties
gary_johnson,Military and foreign policy,Cuba
gary_johnson,Military and foreign policy,Non-state terrorism
gary_johnson,Military and foreign policy,Afghanistan
gary_johnson,Military and foreign policy,Iran
gary_johnson,Military and foreign policy,Ukraine
gary_johnson,Military and foreign policy,Uganda
gary_johnson,Military and foreign policy,Iraq
gary_johnson,Military and foreign policy,Israel
gary_johnson,Military and foreign policy,Libya
